ronde,speler_id,speler,club,behaald
6,victor-edvardsen,Victor Edvardsen,Go Ahead Eagles,38.0
6,kjetil-haug,Kjetil Haug,Go Ahead Eagles,8.0
6,nando-verdoni,Nando Verdoni,Go Ahead Eagles,0.0
6,sasha-panah,Nick Marsman,Go Ahead Eagles,0.0
6,evert-linthorst,Evert Linthorst,Go Ahead Eagles,11.0
6,melle-meulensteen,Melle Meulensteen,Go Ahead Eagles,18.0
6,robbin-weijenberg,Robbin Weijenberg,Go Ahead Eagles,0.0
6,yassir-salah-rahmouni,Yassir Salah Rahmouni,Go Ahead Eagles,4.0
6,almugera-kabar,Almugera Kabar,NEC,3.0
6,bram-nuytinck,Bram Nuytinck,NEC,7.0
6,deveron-fonville,Deveron Fonville,NEC,6.0
6,gabriel-bras,Gabriel Brás,NEC,1.0
6,p-schuurs,Perr Schuurs,NEC,18.0
6,philippe-sandler,Philippe Sandler,NEC,1.0
6,t-storm,Tobias Storm,NEC,4.0
6,ayodele-thomas,Ayodele Thomas,NEC,1.0
6,bryan-linssen,Bryan Linssen,NEC,12.0
6,clement-bischoff,Clement Bischoff,NEC,10.0
6,dusan-tadic,Dusan Tadic,NEC,7.0
6,emre-mor,Emre Mor,NEC,6.0
6,kaj-sierhuis,Kaj Sierhuis,NEC,15.0
6,kevin-kers,Kevin Kers,NEC,1.0
6,freek-entius,Freek Entius,NEC,0.0
6,gonzalo-crettaz,Gonzalo Crettaz,NEC,6.0
6,joep-geneste,Joep Geneste,NEC,0.0
6,nikolas-polster,Nikolas Polster,NEC,1.0
6,adam-tahaui,Adam Tahaui,NEC,23.0
6,darko-nejasmic,Darko Nejasmic,NEC,11.0
6,dennis-geiger,Dennis Geiger,NEC,1.0
6,isak-hansen-aaren,Isak Hansen-Aarøen,NEC,-2.0
6,jamiro-monteiro,Jamiro Monteiro,NEC,4.0
6,merijn-van-de-wiel,Merijn van de Wiel,NEC,0.0
6,noe-lebreton,Noé Lebreton,NEC,12.0
6,tjaronn-chery,Tjaronn Chery,NEC,28.0
6,willum-thor-willumsson,Willum Thór Willumsson,NEC,7.0
6,damian-van-der-haar,Damian van der Haar,PEC Zwolle,7.0
6,jan-burger,Jan Bürger,PEC Zwolle,0.0
6,nick-viergever,Nick Viergever,PEC Zwolle,17.0
6,olivier-aertssen,Olivier Aertssen,PEC Zwolle,4.0
6,sherel-floranus,Sherel Floranus,PEC Zwolle,-10.0
6,simon-graves,Simon Graves,PEC Zwolle,7.0
6,tijs-velthuis,Tijs Velthuis,PEC Zwolle,6.0
6,dylan-mbayo,Dylan Mbayo,PEC Zwolle,10.0
6,elias-srensen,Elias Sørensen,PEC Zwolle,10.0
6,ibrahim-cissoko,Ibrahim Cissoko,PEC Zwolle,10.0
6,koen-kostons,Koen Kostons,PEC Zwolle,12.0
6,sydney-van-hooijdonk,Sydney van Hooijdonk,PEC Zwolle,1.0
6,duke-verduin,Duke Verduin,PEC Zwolle,0.0
6,jasper-schendelaar,Jasper Schendelaar,PEC Zwolle,9.0
6,tom-de-graaff,Tom de Graaff,PEC Zwolle,0.0
6,gabriel-reiziger,Gabriël Reiziger,PEC Zwolle,0.0
6,gilles-van-der-wal,Gilles van der Wal,PEC Zwolle,0.0
6,jadiel-pereira-da-gama,Jadiel Pereira da Gama,PEC Zwolle,0.0
6,nick-fichtinger,Nick Fichtinger,PEC Zwolle,0.0
6,odysseus-velanas,Odysseus Velanas,PEC Zwolle,4.0
6,ryan-thomas,Ryan Thomas,PEC Zwolle,1.0
6,thijs-oosting,Thijs Oosting,PEC Zwolle,7.0
6,t-sommer,Tobias Sommer,PEC Zwolle,4.0
6,armando-obispo,Armando Obispo,PSV,10.0
6,fabian-merien,Fabian Merién,PSV,0.0
6,filip-kostic,Filip Kostic,PSV,3.0
6,kiliann-sildillia,Kiliann Sildillia,PSV,4.0
6,lutsharel-geertruida,Lutsharel Geertruida,PSV,13.0
6,mauro-junior,Mauro Júnior,PSV,27.0
6,ryan-flamingo,Ryan Flamingo,PSV,23.0
6,sergino-dest,Sergiño Dest,PSV,40.0
6,yarek-gasiorowski,Yarek Gasiorowski,PSV,6.0
6,alassane-plea,Alassane Pléa,PSV,3.0
6,amir-bouhamdi,Amir Bouhamdi,PSV,14.0
6,dennis-man,Dennis Man,PSV,4.0
6,esmir-bajraktarevic,Esmir Bajraktarevic,PSV,12.0
6,ivan-perisic,Ivan Perisic,PSV,24.0
6,ricardo-pepi,Ricardo Pepi,PSV,29.0
6,ruben-van-bommel,Ruben van Bommel,PSV,23.0
6,sami-ouaissa,Sami Ouaissa,PSV,0.0
6,khadim-ngom,Khadim Ngom,PSV,0.0
6,matej-kovar,Matej Kovar,PSV,13.0
6,nick-olij,Nick Olij,PSV,0.0
6,tijn-smolenaars,Tijn Smolenaars,PSV,0.0
6,guus-til,Guus Til,PSV,29.0
6,joel-van-den-berg,Joël van den Berg,PSV,5.0
6,kodai-sano,Kodai Sano,PSV,9.0
6,noah-fernandez,Noah Fernandez,PSV,15.0
6,paul-wanner,Paul Wanner,PSV,16.0
6,sven-mijnans,Sven Mijnans,PSV,19.0
6,billy-van-duijl,Billy van Duijl,SC Cambuur,1.0
6,devid-eugene-bouah,Devid Bouah,SC Cambuur,1.0
6,ismael-baouf,Ismaël Baouf,SC Cambuur,-2.0
6,jamal-amofa,Jamal Amofa,SC Cambuur,1.0
6,jorn-berkhout,Jorn Berkhout,SC Cambuur,0.0
6,lucas-jetten,Lucas Jetten,SC Cambuur,-2.0
6,morgan-costarelli,Morgan Costarelli,SC Cambuur,1.0
6,f-kvam,Fabian Kvam,SC Cambuur,1.0
6,ilyes-hamache,Ilyes Hamache,SC Cambuur,9.0
6,nicolas-binder,Nicolas Binder,SC Cambuur,11.0
6,sami-bouhoudane,Sami Bouhoudane,SC Cambuur,-2.0
6,s-vink,Skye Vink,SC Cambuur,0.0
6,wiebe-kooistra,Wiebe Kooistra,SC Cambuur,0.0
6,jasper-meijster,Jasper Meijster,SC Cambuur,0.0
6,luca-plogmann,Luca Plogmann,SC Cambuur,0.0
6,matthijs-kalisvaart,Matthijs Kalisvaart,SC Cambuur,0.0
6,thijs-jansen,Thijs Jansen,SC Cambuur,1.0
6,ethan-apkakou,Ethan Apkakou,SC Cambuur,0.0
6,iwan-henstra,Iwan Henstra,SC Cambuur,0.0
6,mathieu-maertens,Mathieu Maertens,SC Cambuur,1.0
6,nicky-souren,Nicky Souren,SC Cambuur,-2.0
