team,speler,positie,prijs,speler_id,rol,nieuw,blessure,behaald,verwacht
Excelsior,Tijmen Holla,Goalkeeper,1.00,tijmen-holla,,0,,0.0,1.235
Excelsior,Daniel van Vianen,Midfielder,1.20,daniel-van-vianen,,0,,9.0,2.564
Excelsior,Ilano Silva Timas,Midfielder,1.50,ilano-silva-timas,,0,,13.0,2.284
Excelsior,Irakli Yegoian,Midfielder,1.80,irakli-yegoian,basis,0,,38.0,3.194
Excelsior,Lennard Hartjes,Midfielder,1.20,lennard-hartjes,,0,,7.0,2.297
Excelsior,Noah Naujoks,Midfielder,1.80,noah-naujoks,,0,,19.0,1.355
Excelsior,Valentin Sulzbacher,Midfielder,1.20,valentin-sulzbacher,,1,,6.0,2.909
Excelsior,Yacqub Finey,Midfielder,1.50,y-finey,,1,,0.0,3.259
FC Groningen,Elvis van der Laan,Defender,1.00,elvis-van-der-laan,,1,,7.0,2.35
FC Groningen,Jesper Mosselaar,Defender,1.20,jesper-mosselaar,,1,,0.0,2.35
FC Groningen,Malcolm Jeng,Defender,1.80,malcolm-jeng,,0,,,1.202
FC Groningen,Marco Rente,Defender,2.20,marco-rente,,0,,4.0,2.356
FC Groningen,Márk Csinger,Defender,1.80,mark-csinger,,1,,-1.0,3.862
FC Groningen,Nikolas Brandis,Defender,1.80,nikolas-brandis,,1,,4.0,3.748
FC Groningen,Thijmen Blokzijl,Defender,2.00,thijmen-blokzijl,,0,,12.0,2.085
FC Groningen,Tyrique Mercera,Defender,1.50,tyrique-mercera,,0,duur onbekend,3.0,1.549
FC Groningen,Wouter Prins,Defender,1.80,wouter-prins,,0,,8.0,3.319
FC Groningen,Brynjólfur Willumsson,Forward,1.80,brynjolfur-willumsson,basis,0,,32.0,3.037
FC Groningen,Jacob Ondrejka,Forward,1.80,jacob-ondrejka,,1,,2.0,2.171
FC Groningen,Nils Eggens,Forward,1.20,nils-eggens,,0,,10.0,3.501
FC Groningen,Oskar Zawada,Forward,1.50,oskar-zawada,,0,,2.0,2.047
FC Groningen,Ryan Metu,Forward,1.20,ryan-metu,,0,duur onbekend,3.0,2.502
FC Groningen,Thom van Bergen,Forward,2.20,thom-van-bergen,,0,,30.0,2.212
FC Groningen,Daan Erdman,Goalkeeper,1.00,daan-erdman,,1,,,3.643
FC Groningen,Etienne Vaessen,Goalkeeper,2.20,etienne-vaessen,,0,,10.0,1.767
FC Groningen,Lovro Stubljar,Goalkeeper,1.20,lovro-stubljar,,1,,0.0,2.051
FC Groningen,Rijk Janse,Goalkeeper,1.00,rijk-janse,,0,tot en met 1 juli,0.0,1.845
FC Groningen,Alvin Nordin,Midfielder,1.50,alvin-nordin,,1,,0.0,1.286
FC Groningen,David van der Werff,Midfielder,1.80,david-van-der-werff,,0,,24.0,1.055
FC Groningen,Jahelille Hall,Midfielder,1.20,jahelille-hall,,1,,0.0,1.47
FC Groningen,Jismerai Dillema,Midfielder,1.00,jismerai-dillema,,0,,0.0,2.531
FC Groningen,Jorg Schreuders,Midfielder,1.80,jorg-schreuders,,0,,16.0,3.941
FC Groningen,Pelle Clement,Midfielder,1.80,pelle-clement,,0,,11.0,1.31
FC Groningen,Tika de Jonge,Midfielder,1.80,tika-de-jonge,,0,,8.0,2.494
FC Groningen,Travis Hernes,Midfielder,1.20,travis-hernes,,0,,4.0,3.526
FC Groningen,Tygo Land,Midfielder,1.80,tygo-land,,0,,19.0,2.607
FC Twente,Aske Adelgaard,Defender,1.50,aske-adelgaard,,0,,12.0,3.905
FC Twente,Bart van Rooij,Defender,2.50,bart-van-rooij,,0,,23.0,2.191
FC Twente,Björn Titulaer,Defender,1.00,bjorn-titulaer,,1,,,1.014
FC Twente,Jip Meilink,Defender,1.00,jip-meilink,,1,,,2.897
FC Twente,Juliën Mesbahi,Defender,1.00,julien-mesbahi,,0,,,2.653
FC Twente,Krzysztof Kurowski,Defender,1.20,krzysztof-kurowski,,1,,3.0,2.214
FC Twente,Max Bruns,Defender,1.80,max-bruns,,0,,13.0,3.329
FC Twente,Robin Pröpper,Defender,2.00,robin-propper,,0,,29.0,2.254
FC Twente,Ruud Nijstad,Defender,2.00,ruud-nijstad,,0,,29.0,1.308
FC Twente,Stav Lemkin,Defender,1.80,stav-lemkin,,0,duur onbekend,,2.969
FC Twente,Daan Rots,Forward,2.50,daan-rots,,0,,13.0,1.525
FC Twente,Filip Thorvaldsen,Forward,2.20,filip-thorvaldsen,,1,,13.0,2.263
FC Twente,Lucas Vennegoor of Hesselink,Forward,1.20,lucas-vennegoor-of-hesselink,,0,,4.0,2.84
FC Twente,Marko Pjaca,Forward,2.00,marko-pjaca,,0,,25.0,1.198
FC Twente,Naci Ünüvar,Forward,1.80,naci-unuvar,,0,,0.0,1.645
FC Twente,Nigel Groenewald,Forward,1.20,nigel-groenewald,,1,,,2.08
FC Twente,Sondre Ørjasæter,Forward,2.20,sondre-rjaster,,0,,20.0,3.177
FC Twente,Wout Weghorst,Forward,2.80,wout-weghorst,basis,0,,29.0,2.81
FC Twente,Issam El Maach,Goalkeeper,1.20,issam-el-maach,,1,,,2.617
FC Twente,Joël Drommel,Goalkeeper,2.00,joel-drommel,,0,,8.0,3.777
FC Twente,Lars Unnerstall,Goalkeeper,2.50,lars-unnerstall,,0,,20.0,3.268
FC Twente,Remko Pasveer,Goalkeeper,1.80,remko-pasveer,,0,,0.0,2.277
FC Twente,Yannick Gerritsen,Goalkeeper,1.00,yannick-gerritsen,,1,,,1.408
FC Twente,Benjamin Nagel,Midfielder,1.00,benjamin-nagel,,1,,,2.836
FC Twente,Daouda Weidmann,Midfielder,1.80,daouda-weidmann,,0,,24.0,1.729
FC Twente,Gijs Besselink,Midfielder,1.20,gijs-besselink,,0,,,3.992
FC Twente,Jordy Bawuah,Midfielder,1.50,jordy-bawuah,,0,,3.0,3.856
FC Twente,Kristian Hlynsson,Midfielder,2.80,kristian-hlynsson,,0,,3.0,2.138
FC Twente,Ramiz Zerrouki,Midfielder,2.00,ramiz-zerrouki,,0,,13.0,3.262
FC Twente,Thomas van den Belt,Midfielder,2.00,thomas-van-den-belt,,0,,13.0,2.1
FC Twente,Younes Taha,Midfielder,2.00,younes-taha,,0,,21.0,3.688
FC Utrecht,Arthur Zagré,Defender,1.80,arthur-zagre,,0,,-4.0,3.408
FC Utrecht,Ferdinand Pohl,Defender,1.20,ferdinand-pohl,,1,,-3.0,3.817
FC Utrecht,Guus Offerhaus,Defender,1.80,guus-offerhaus,,0,,-4.0,2.111
FC Utrecht,Jakov Medic,Defender,1.80,jakov-medic,,1,,1.0,3.608
FC Utrecht,Jamie Schuldes,Defender,1.20,jamie-schuldes,,1,,,2.746
FC Utrecht,Kevin Paredes,Defender,1.80,kevin-paredes,,0,duur onbekend,1.0,3.319
FC Utrecht,Matisse Didden,Defender,1.80,matisse-didden,bank,0,,22.0,3.008
FC Utrecht,Neville Ogidi Nwankwo,Defender,1.50,neville-ogidi-nwankwo,,0,,1.0,3.465
FC Utrecht,Niklas Vesterlund,Defender,1.80,niklas-vesterlund,,0,,9.0,2.845
FC Utrecht,Per Kloosterboer,Defender,1.00,per-kloosterboer,,0,,1.0,1.669
FC Utrecht,Siebe Horemans,Defender,2.00,siebe-horemans,,0,,-1.0,1.695
FC Utrecht,Viggo Plantinga,Defender,1.00,viggo-plantinga,,1,,,1.756
FC Utrecht,Adrian Blake,Forward,1.80,adrian-blake,,0,,14.0,2.237
FC Utrecht,Artem Stepanov,Forward,2.20,artem-stepanov,,0,,18.0,3.558
FC Utrecht,Emmanuel Chigozie Owen,Forward,1.20,emmanuel-chigozie-owen,,1,,0.0,2.678
FC Utrecht,Miliano Jonathans,Forward,1.50,miliano-jonathans,,0,,,3.628
FC Utrecht,Noah Ohio,Forward,1.50,noah-ohio,,0,,,1.993
FC Utrecht,Nordin Amrabat,Forward,1.80,nordin-amrabat,,1,,0.0,1.732
FC Utrecht,Sem van Duijn,Forward,2.00,sem-van-duijn,,0,,1.0,1.368
FC Utrecht,Yoann Cathline,Forward,2.00,yoann-cathline,,0,,6.0,1.092
FC Utrecht,Ángel Alarcón,Forward,2.20,angel-alarcon,,0,,2.0,2.323
FC Utrecht,Kevin Gadellaa,Goalkeeper,1.00,kevin-gadellaa,,0,,0.0,3.052
FC Utrecht,Mees Eppink,Goalkeeper,1.00,mees-eppink,,0,,0.0,1.508
FC Utrecht,Vasilis Barkas,Goalkeeper,2.50,vasilios-barkas,,0,,-1.0,2.442
FC Utrecht,Alonzo Engwanda,Midfielder,1.80,alonzo-engwanda,,0,,,3.103
FC Utrecht,Dani de Wit,Midfielder,2.20,dani-de-wit,,0,,4.0,2.905
FC Utrecht,Davy van den Berg,Midfielder,1.80,davy-van-den-berg,,0,,5.0,3.621
FC Utrecht,Jaygo van Ommeren,Midfielder,1.20,jaygo-van-ommeren,,1,,,3.76
FC Utrecht,Joris van Overeem,Midfielder,2.00,joris-van-overeem,,0,duur onbekend,-3.0,1.676
FC Utrecht,Marius Broholm,Midfielder,2.00,marius-broholm,,1,,1.0,2.554
FC Utrecht,Oualid Agougil,Midfielder,1.20,oualid-agougil,,0,,,2.953
FC Utrecht,Victor Jensen,Midfielder,2.20,victor-jensen,,0,,,2.722
Feyenoord,Bart Nieuwkoop,Defender,2.00,bart-nieuwkoop,,0,,,3.278
Feyenoord,Gijs Smal,Defender,2.00,gijs-smal,,0,duur onbekend,,2.911
Feyenoord,Givairo Read,Defender,2.80,givairo-read,,0,,14.0,2.894
Feyenoord,Javi López,Defender,2.20,javi-lopez,,1,,4.0,3.613
Feyenoord,Jeremiah St. Juste,Defender,2.00,jeremiah-st-juste,,0,,13.0,2.702
Feyenoord,Jordan Bos,Defender,3.20,jordan-bos,,0,tot en met 1 januari,,1.76
Feyenoord,Mats Deijl,Defender,2.20,mats-deijl,,0,,3.0,1.919
Feyenoord,Mika Mármol,Defender,2.50,mika-marmol,,1,,14.0,3.367
Feyenoord,Thomas Beelen,Defender,1.80,thomas-beelen,,1,geschorst tot en met 29 januari,,2.548
Feyenoord,Tijme Wessels,Defender,1.50,tijme-wessels,,1,,6.0,2.508
Feyenoord,Tsuyoshi Watanabe,Defender,2.80,tsuyoshi-watanabe,,0,,8.0,3.576
Feyenoord,Anis Hadj Moussa,Forward,3.00,anis-hadj-moussa,,0,,13.0,2.825
Feyenoord,Gaoussou Diarra,Forward,2.00,gaoussou-diarra,,0,,13.0,2.358
Feyenoord,Gonçalo Borges,Forward,2.00,goncalo-borges,,0,,1.0,1.341
Feyenoord,Jivayno Zinhagel,Forward,1.50,jivayno-zinhagel,,0,,3.0,3.428
Feyenoord,Nacho Ferri,Forward,2.50,nacho-ferri,,1,,12.0,1.788
Feyenoord,Shaqueel van Persie,Forward,2.00,shaqueel-van-persie,,0,,11.0,3.821
Feyenoord,Florian Kastenmeier,Goalkeeper,2.00,florian-kastenmeier,,1,,0.0,1.415
Feyenoord,Liam Bossin,Goalkeeper,1.20,liam-bossin,,1,,0.0,1.344
Feyenoord,Mannou Berger,Goalkeeper,1.20,mannou-berger,,1,,0.0,1.276
Feyenoord,Tjark Ernst,Goalkeeper,3.00,tjark-ernst,,1,,16.0,1.266
Feyenoord,Charles Vanhoutte,Midfielder,1.80,charles-vanhoutte,,1,,8.0,1.631
Feyenoord,Gjivai Zechiël,Midfielder,2.00,gjivai-zechiel,basis,0,,49.0,3.203
Feyenoord,Jakub Moder,Midfielder,2.00,jakub-moder,,0,,,1.274
Feyenoord,Luciano Valente,Midfielder,2.80,luciano-valente,,0,,35.0,1.531
Feyenoord,Oussama Targhalline,Midfielder,2.20,oussama-targhalline,,0,,10.0,2.619
Feyenoord,Sem Steijn,Midfielder,3.00,sem-steijn,,0,,5.0,2.292
Feyenoord,Thijs Kraaijeveld,Midfielder,1.80,thijs-kraaijeveld,,0,,11.0,3.861
Feyenoord,Tobias van den Elshout,Midfielder,1.80,tobias-van-den-elshout,,0,,3.0,3.636
Fortuna Sittard,Ivo Pinto,Defender,1.80,ivo-pinto,,0,,14.0,2.974
Fortuna Sittard,Iván Márquez,Defender,1.80,ivan-marquez,,0,,,1.12
Fortuna Sittard,Jasper Dahlhaus,Defender,1.50,jasper-dahlhaus,,0,,11.0,1.46
Fortuna Sittard,Justin Hubner,Defender,1.50,justin-hubner,,0,,4.0,1.952
Fortuna Sittard,Kevin van Burgsteden,Defender,1.20,kevin-van-burgsteden,,1,,,2.882
Fortuna Sittard,Rodrigo Guth,Defender,1.80,rodrigo-guth,,1,,3.0,2.45
Fortuna Sittard,Siebe Wylin,Defender,1.20,siebe-wylin,,1,duur onbekend,4.0,1.238
Fortuna Sittard,Syb van Ottele,Defender,1.50,syb-van-ottele,,0,,10.0,3.871
Fortuna Sittard,Anthony Descotte,Forward,1.80,anthony-descotte,,0,,22.0,3.247
Fortuna Sittard,David Stockbrink,Forward,1.00,david-stockbrink,,1,,,1.135
Fortuna Sittard,Kristoffer Peterson,Forward,1.80,kristoffer-peterson,,0,duur onbekend,,2.453
Fortuna Sittard,Lequincio Zeefuik,Forward,1.80,lequincio-zeefuik,,0,,24.0,1.184
Fortuna Sittard,Ole Romeny,Forward,1.50,ole-romeny,,1,,2.0,3.465
Fortuna Sittard,Kaylen Reitmaier,Goalkeeper,1.20,kaylen,,1,,0.0,2.78
Fortuna Sittard,Luuk Koopmans,Goalkeeper,1.50,luuk-koopmans,,0,,0.0,3.979
Fortuna Sittard,Mattijs Branderhorst,Goalkeeper,1.80,mattijs-branderhorst,,0,,10.0,2.804
Fortuna Sittard,Ramazan Bayram,Goalkeeper,1.00,ramazan-bayram,,1,,,3.436
Fortuna Sittard,Alhaji Bah,Midfielder,1.00,alhaji-bah,,1,,,3.017
